hatespeech;counterspeech;target
Using violence to punish another person? Sounds like a muslim issue.;"Well, when the pope who represents 1.2 billion catholics and the grand imam, the highest seat in sunni islam, sing a joint declaration stating ''we resolutely declare that religions must never incite war, hateful attitudes, hostility and extremism, nor must they incite violence or the shedding of blood,"" i know who i will believe. Stop just listening to the news you want to believe.";facts
Muslims use corporal and cruel punishment on people.;"Well, when the pope who represents 1.2 billion catholics and the grand imam, the highest seat in sunni islam, sing a joint declaration stating ''we resolutely declare that religions must never incite war, hateful attitudes, hostility and extremism, nor must they incite violence or the shedding of blood,"" i know who i will believe. Stop just listening to the news you want to believe.";facts
Muslims use acts of violence to punish people.;"Well, when the pope who represents 1.2 billion catholics and the grand imam, the highest seat in sunni islam, sing a joint declaration stating ''we resolutely declare that religions must never incite war, hateful attitudes, hostility and extremism, nor must they incite violence or the shedding of blood,"" i know who i will believe. Stop just listening to the news you want to believe.";facts
Using violence to punish another person? Sounds like a muslim issue.;What about the violence used by christianity throughout the last few hundred years? Do the crusades sound like a 'muslim issue'?;hypocrisy
Muslims use corporal and cruel punishment on people.;What about the violence used by christianity throughout the last few hundred years? Do the crusades sound like a 'muslim issue'?;hypocrisy
Muslims use acts of violence to punish people.;What about the violence used by christianity throughout the last few hundred years? Do the crusades sound like a 'muslim issue'?;hypocrisy
Using violence to punish another person? Sounds like a muslim issue.;But it isn't is it?;question
Muslims use corporal and cruel punishment on people.;But it isn't is it?;question
Muslims use acts of violence to punish people.;But it isn't is it?;question
Using violence to punish another person? Sounds like a muslim issue.;I do not remember seeing many of the shootings in america being perpetrated by a muslim shooter.;hypocrisy
Muslims use corporal and cruel punishment on people.;I do not remember seeing many of the shootings in america being perpetrated by a muslim shooter.;hypocrisy
Muslims use acts of violence to punish people.;I do not remember seeing many of the shootings in america being perpetrated by a muslim shooter.;hypocrisy
Using violence to punish another person? Sounds like a muslim issue.;Violence is a muslim issue. Especially all the violence being endured by muslims due to hateful intolerance and discrimination.;facts
Muslims use corporal and cruel punishment on people.;Violence is a muslim issue. Especially all the violence being endured by muslims due to hateful intolerance and discrimination.;facts
Muslims use acts of violence to punish people.;Violence is a muslim issue. Especially all the violence being endured by muslims due to hateful intolerance and discrimination.;facts
Using violence to punish another person? Sounds like a muslim issue.;Using intolerance and discrimination against anyone different? Sounds like a western issue.;denouncing
Muslims use corporal and cruel punishment on people.;Using intolerance and discrimination against anyone different? Sounds like a western issue.;denouncing
Muslims use acts of violence to punish people.;Using intolerance and discrimination against anyone different? Sounds like a western issue.;denouncing
Using violence to punish another person? Sounds like a muslim issue.;The quran says that muslims should not seek hostility towards those who haven't sought any war against them. Jihadists do not represent the islamic faith.;facts
Muslims use corporal and cruel punishment on people.;The quran says that muslims should not seek hostility towards those who haven't sought any war against them. Jihadists do not represent the islamic faith.;facts
Muslims use acts of violence to punish people.;The quran says that muslims should not seek hostility towards those who haven't sought any war against them. Jihadists do not represent the islamic faith.;facts
Using violence to punish another person? Sounds like a muslim issue.;Actions of a few people do not represent an entire community.;facts
Muslims use corporal and cruel punishment on people.;Actions of a few people do not represent an entire community.;facts
Muslims use acts of violence to punish people.;Actions of a few people do not represent an entire community.;facts
Using violence to punish another person? Sounds like a muslim issue.;Or a trump rally.;humor
Muslims use corporal and cruel punishment on people.;Or a trump rally.;humor
Muslims use acts of violence to punish people.;Or a trump rally.;humor
Using violence to punish another person? Sounds like a muslim issue.;Much more than 50 percent of parents out there are spankers.' - donald trump and isn't corporal punishment is currently legal in 19 states in the us?;facts
Muslims use corporal and cruel punishment on people.;Much more than 50 percent of parents out there are spankers.' - donald trump and isn't corporal punishment is currently legal in 19 states in the us?;facts
Muslims use acts of violence to punish people.;Much more than 50 percent of parents out there are spankers.' - donald trump and isn't corporal punishment is currently legal in 19 states in the us?;facts
Using violence to punish another person? Sounds like a muslim issue.;Who said spare the cane spoil the child? How many non muslims are suggesting violence against muslims? Sounds like an issue in the western world.;hypocrisy
Muslims use corporal and cruel punishment on people.;Who said spare the cane spoil the child? How many non muslims are suggesting violence against muslims? Sounds like an issue in the western world.;hypocrisy
Muslims use acts of violence to punish people.;Who said spare the cane spoil the child? How many non muslims are suggesting violence against muslims? Sounds like an issue in the western world.;hypocrisy
Using violence to punish another person? Sounds like a muslim issue.;Why is this a muslim issue? A faith of 1.6 billion all violent?;denouncing
Muslims use corporal and cruel punishment on people.;Why is this a muslim issue? A faith of 1.6 billion all violent?;denouncing
Muslims use acts of violence to punish people.;Why is this a muslim issue? A faith of 1.6 billion all violent?;denouncing
Using violence to punish another person? Sounds like a muslim issue.;Have you ever spoken to a muslim?;question
Muslims use corporal and cruel punishment on people.;Have you ever spoken to a muslim?;question
Muslims use acts of violence to punish people.;Have you ever spoken to a muslim?;question
Above all Islam is a religion of conquest.;Are all major religions not religions of conquest to some extent? It does not mean they cannot be practiced peacefully. (link to article about the pope likening Christianity and Islam through their 'idea of conquest');hypocrisy
Islam purpose is only the conquest.;Are all major religions not religions of conquest to some extent? It does not mean they cannot be practiced peacefully. (link to article about the pope likening Christianity and Islam through their 'idea of conquest');hypocrisy
Islam is a religion mostly based on conquest and violence.;Are all major religions not religions of conquest to some extent? It does not mean they cannot be practiced peacefully. (link to article about the pope likening Christianity and Islam through their 'idea of conquest');hypocrisy
Above all Islam is a religion of conquest.;So are we forgetting about the Crusades then.;facts
Islam purpose is only the conquest.;So are we forgetting about the Crusades then.;facts
Islam is a religion mostly based on conquest and violence.;So are we forgetting about the Crusades then.;facts
Above all Islam is a religion of conquest.;7 Muslim Nobel Peace Prize winners would say otherwise.;facts
Islam purpose is only the conquest.;7 Muslim Nobel Peace Prize winners would say otherwise.;facts
Islam is a religion mostly based on conquest and violence.;7 Muslim Nobel Peace Prize winners would say otherwise.;facts
Above all Islam is a religion of conquest.;If it is then it certainly hasn't been a religion of 'conquest' quite as successfully as some others. What about Christianity and colonialism?;hypocrisy
Islam purpose is only the conquest.;If it is then it certainly hasn't been a religion of 'conquest' quite as successfully as some others. What about Christianity and colonialism?;hypocrisy
Islam is a religion mostly based on conquest and violence.;If it is then it certainly hasn't been a religion of 'conquest' quite as successfully as some others. What about Christianity and colonialism?;hypocrisy
Above all Islam is a religion of conquest.;"This is not true. Let me cite a verse in Quran for you. ""muslims cannot preemptively initiate a war."" [quote from Quran about peace].";facts
Islam purpose is only the conquest.;"This is not true. Let me cite a verse in Quran for you. ""muslims cannot preemptively initiate a war."" [quote from Quran about peace].";facts
Islam is a religion mostly based on conquest and violence.;"This is not true. Let me cite a verse in Quran for you. ""muslims cannot preemptively initiate a war."" [quote from Quran about peace].";facts
Above all Islam is a religion of conquest.;No, Islam is a religion of 1.6 billion people from all walks of life.;facts
Islam purpose is only the conquest.;No, Islam is a religion of 1.6 billion people from all walks of life.;facts
Islam is a religion mostly based on conquest and violence.;No, Islam is a religion of 1.6 billion people from all walks of life.;facts
Above all Islam is a religion of conquest.;Every religion talks about conquest, this isn't specific to Islam.;facts
Islam purpose is only the conquest.;Every religion talks about conquest, this isn't specific to Islam.;facts
Islam is a religion mostly based on conquest and violence.;Every religion talks about conquest, this isn't specific to Islam.;facts
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;The process you mentioned seems time-consuming to me and it does not guarantee anything. I do not think anyone would like to experience this just to get a chance to live in a country that speaks different language and possesses different culture.;denouncing
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;The process you mentioned seems time-consuming to me and it does not guarantee anything. I do not think anyone would like to experience this just to get a chance to live in a country that speaks different language and possesses different culture.;denouncing
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;The process you mentioned seems time-consuming to me and it does not guarantee anything. I do not think anyone would like to experience this just to get a chance to live in a country that speaks different language and possesses different culture.;denouncing
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;This is not true. How can you say this about an entire faith?;denouncing
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;This is not true. How can you say this about an entire faith?;denouncing
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;This is not true. How can you say this about an entire faith?;denouncing
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;If you have a deep conversation with Muslims, you will know they are different from what you think. Have you thought about that if they could stay safely in their country, would they want to move to other countries and start new life in a completely new place?;hypocrisy
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;If you have a deep conversation with Muslims, you will know they are different from what you think. Have you thought about that if they could stay safely in their country, would they want to move to other countries and start new life in a completely new place?;hypocrisy
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;If you have a deep conversation with Muslims, you will know they are different from what you think. Have you thought about that if they could stay safely in their country, would they want to move to other countries and start new life in a completely new place?;hypocrisy
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;Is it facts or just your imagination? I do not agree that they aim to take control of us. Maybe they are trying to build their society inside our country, but you are hypothesizing too much,.;denouncing
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;Is it facts or just your imagination? I do not agree that they aim to take control of us. Maybe they are trying to build their society inside our country, but you are hypothesizing too much,.;denouncing
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;Is it facts or just your imagination? I do not agree that they aim to take control of us. Maybe they are trying to build their society inside our country, but you are hypothesizing too much,.;denouncing
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;Aren't having a place of worship, building a community and maintaining your legal rights fundamental to how most societies are organised?;hypocrisy
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;Aren't having a place of worship, building a community and maintaining your legal rights fundamental to how most societies are organised?;hypocrisy
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;Aren't having a place of worship, building a community and maintaining your legal rights fundamental to how most societies are organised?;hypocrisy
This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.;Substitute 'Christianity' and 'Church' for 'Islam' and 'Mosque' and you have an accurate synopsis of the colonisation of Africa and Indian by the British empire.;hypocrisy
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.;Substitute 'Christianity' and 'Church' for 'Islam' and 'Mosque' and you have an accurate synopsis of the colonisation of Africa and Indian by the British empire.;hypocrisy
This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.;Substitute 'Christianity' and 'Church' for 'Islam' and 'Mosque' and you have an accurate synopsis of the colonisation of Africa and Indian by the British empire.;hypocrisy
Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!;In fact, muslim literatures are not about hate and genocide. The literatures teach people to improve oneself and the world, care for the poor, etc. Hence, I do not think we should eradicate the literatures.;facts
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!;In fact, muslim literatures are not about hate and genocide. The literatures teach people to improve oneself and the world, care for the poor, etc. Hence, I do not think we should eradicate the literatures.;facts
Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!;In fact, muslim literatures are not about hate and genocide. The literatures teach people to improve oneself and the world, care for the poor, etc. Hence, I do not think we should eradicate the literatures.;facts
Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!;Muslims, the supporters of Islam, are nothing wrong. The principles of Islam are to respect for the earth and lifes, compassion for the poor, improve the world and oneself, etc. Islam is not evil. People have the right to choose their religion.;positive
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!;Muslims, the supporters of Islam, are nothing wrong. The principles of Islam are to respect for the earth and lifes, compassion for the poor, improve the world and oneself, etc. Islam is not evil. People have the right to choose their religion.;positive
Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!;Muslims, the supporters of Islam, are nothing wrong. The principles of Islam are to respect for the earth and lifes, compassion for the poor, improve the world and oneself, etc. Islam is not evil. People have the right to choose their religion.;positive
Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!;Islam is an ancient religion, and it is not hateful. You can ask any specialist in religion, Islam has nothing to deal with hate. If we imprison people based on their religious views, that would be chauvinism.;facts
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!;Islam is an ancient religion, and it is not hateful. You can ask any specialist in religion, Islam has nothing to deal with hate. If we imprison people based on their religious views, that would be chauvinism.;facts
Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!;Islam is an ancient religion, and it is not hateful. You can ask any specialist in religion, Islam has nothing to deal with hate. If we imprison people based on their religious views, that would be chauvinism.;facts
Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!;Has history taught you nothing about this level of hatred?;denouncing
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!;Has history taught you nothing about this level of hatred?;denouncing
Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!;Has history taught you nothing about this level of hatred?;denouncing
Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!;If you read Qu'ran, you would know that there is nothing about hate in it. Statements of hate nad genocide do not come from this religion, but from specific people who are armed military groups. Do not confuse criminals and common people!;facts
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!;If you read Qu'ran, you would know that there is nothing about hate in it. Statements of hate nad genocide do not come from this religion, but from specific people who are armed military groups. Do not confuse criminals and common people!;facts
Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!;If you read Qu'ran, you would know that there is nothing about hate in it. Statements of hate nad genocide do not come from this religion, but from specific people who are armed military groups. Do not confuse criminals and common people!;facts
Islam is irrational and incompatible with science.;No, 1.6 billion people are not irrational and incompatible with science.;facts
Islam cannot get along with science because is illogical.;No, 1.6 billion people are not irrational and incompatible with science.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;No, 1.6 billion people are not irrational and incompatible with science.;facts
Islam is irrational and incompatible with science.;We use Arabic numbers.;facts
Islam cannot get along with science because is illogical.;We use Arabic numbers.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;We use Arabic numbers.;facts
Islam is irrational and incompatible with science.;Much like your statement then.;denouncing
Islam cannot get along with science because is illogical.;Much like your statement then.;denouncing
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Much like your statement then.;denouncing
Islam is irrational and incompatible with science.;Islamic scholars created the foundations on which our modern scientific knowledge was built.;facts
Islam cannot get along with science because is illogical.;Islamic scholars created the foundations on which our modern scientific knowledge was built.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Islamic scholars created the foundations on which our modern scientific knowledge was built.;facts
Islam is irrational and incompatible with science.;Actually all modern science and mathematics are children of Islam.;facts
Islam cannot get along with science because is illogical.;Actually all modern science and mathematics are children of Islam.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Actually all modern science and mathematics are children of Islam.;facts
Islam is irrational and incompatible with science.;Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.;facts
Islam cannot get along with science because is illogical.;Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.;facts
Islam is irrational and incompatible with science.;The Qur'an encourages the pursuit of new knowledge and understanding. That sounds quite compatible with science to me.;facts
Islam cannot get along with science because is illogical.;The Qur'an encourages the pursuit of new knowledge and understanding. That sounds quite compatible with science to me.;facts
Islam does not help science progression, because it does not have useful elements and it isn't rational.;The Qur'an encourages the pursuit of new knowledge and understanding. That sounds quite compatible with science to me.;facts
Islam is irrational and incompatible with science.;Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!;humor
Islam cannot get along with science because is illogical.;Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!;humor
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!;humor
Islam is irrational and incompatible with science.;Oh! You mean the home of modern maths and science?;humor
Islam cannot get along with science because is illogical.;Oh! You mean the home of modern maths and science?;humor
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Oh! You mean the home of modern maths and science?;humor
Islam is irrational and incompatible with science.;Apart from all the scientists that are also muslim?;hypocrisy
Islam cannot get along with science because is illogical.;Apart from all the scientists that are also muslim?;hypocrisy
Islam does not help science progression, because it does not have useful elements and it isn't rational.;Apart from all the scientists that are also muslim?;hypocrisy
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;So i guess you are talking about the Middle East? That place where Christianity originates from. Sure.;humor
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;So i guess you are talking about the Middle East? That place where Christianity originates from. Sure.;humor
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;So i guess you are talking about the Middle East? That place where Christianity originates from. Sure.;humor
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Sorry I must have missed that episode of grand designs, link?;humor
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Sorry I must have missed that episode of grand designs, link?;humor
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Sorry I must have missed that episode of grand designs, link?;humor
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;I mean, I am proud of our right to freedom of worship just the same as our right to freedom of speech.;affiliation
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;I mean, I am proud of our right to freedom of worship just the same as our right to freedom of speech.;affiliation
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;I mean, I am proud of our right to freedom of worship just the same as our right to freedom of speech.;affiliation
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;There are churches in Muslim countries like Turkey, UAE, Morrocco. What is your point?;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;There are churches in Muslim countries like Turkey, UAE, Morrocco. What is your point?;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;There are churches in Muslim countries like Turkey, UAE, Morrocco. What is your point?;facts
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Shouldn't religious freedom be celebrated?;hypocrisy
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Shouldn't religious freedom be celebrated?;hypocrisy
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Shouldn't religious freedom be celebrated?;hypocrisy
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Because we believe in freedom of religion here. Why should it bother anyone else for Muslims to practice their faith peacefully alongside others?;hypocrisy
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Because we believe in freedom of religion here. Why should it bother anyone else for Muslims to practice their faith peacefully alongside others?;hypocrisy
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Because we believe in freedom of religion here. Why should it bother anyone else for Muslims to practice their faith peacefully alongside others?;hypocrisy
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Why should not Muslims be allowed to build Mosques here? I thought this country believed in giving people the freedom to practice religions other than Christianity?;hypocrisy
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Why should not Muslims be allowed to build Mosques here? I thought this country believed in giving people the freedom to practice religions other than Christianity?;hypocrisy
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Why should not Muslims be allowed to build Mosques here? I thought this country believed in giving people the freedom to practice religions other than Christianity?;hypocrisy
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;For hundreds of years we weren't allowed to build different kinds of Churches in Britain, but we are better than that now.;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;For hundreds of years we weren't allowed to build different kinds of Churches in Britain, but we are better than that now.;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;For hundreds of years we weren't allowed to build different kinds of Churches in Britain, but we are better than that now.;facts
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Surprise - we are actually allowed to do this! Read on. Sacred Heart Cathedral in Lahor, Holy Trinity Cathedral in Karachi.;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Surprise - we are actually allowed to do this! Read on. Sacred Heart Cathedral in Lahor, Holy Trinity Cathedral in Karachi.;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Surprise - we are actually allowed to do this! Read on. Sacred Heart Cathedral in Lahor, Holy Trinity Cathedral in Karachi.;facts
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;Because we let people practise their religion here? Also, there a number of christian churches built in Pakistan so yes, we are allowed to build churches in Muslim countries too.;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;Because we let people practise their religion here? Also, there a number of christian churches built in Pakistan so yes, we are allowed to build churches in Muslim countries too.;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;Because we let people practise their religion here? Also, there a number of christian churches built in Pakistan so yes, we are allowed to build churches in Muslim countries too.;facts
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support peoples right to freedom of religion.;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support peoples right to freedom of religion.;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support peoples right to freedom of religion.;facts
We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?;British Muslims give more to charity, per capita, than all other religious groups [link to mend statistics and/or example of one large charity donation from a Mosque], so I am struggling to see the problem with Mosques where these funds are mostly raised.;facts
If I cannot go to their countries and build a church, why should they come to our countries and build mosques?;British Muslims give more to charity, per capita, than all other religious groups [link to mend statistics and/or example of one large charity donation from a Mosque], so I am struggling to see the problem with Mosques where these funds are mostly raised.;facts
We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?;British Muslims give more to charity, per capita, than all other religious groups [link to mend statistics and/or example of one large charity donation from a Mosque], so I am struggling to see the problem with Mosques where these funds are mostly raised.;facts
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?;Maybe because people obviously haven't understood this and keep generalising a few extreme cases to the whole religion?;facts
They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.;Maybe because people obviously haven't understood this and keep generalising a few extreme cases to the whole religion?;facts
Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?;Maybe because people obviously haven't understood this and keep generalising a few extreme cases to the whole religion?;facts
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?;Religion is an integral part of our society, surely it is a good thing that it preaches peace.;positive
They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.;Religion is an integral part of our society, surely it is a good thing that it preaches peace.;positive
Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?;Religion is an integral part of our society, surely it is a good thing that it preaches peace.;positive
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?;So you are saying an entire faith of 1.6 billion is not peaceful? This is ignorant.;denouncing
They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.;So you are saying an entire faith of 1.6 billion is not peaceful? This is ignorant.;denouncing
Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?;So you are saying an entire faith of 1.6 billion is not peaceful? This is ignorant.;denouncing
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?;Maybe it is because of scapegoating and selective media falsely claiming that it is not?;facts
They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.;Maybe it is because of scapegoating and selective media falsely claiming that it is not?;facts
Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?;Maybe it is because of scapegoating and selective media falsely claiming that it is not?;facts
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;In fact, Muslims have continued to help our society. For instance, they have worked on countering violent extremism and building community cohesion. Muslims also have condemned terrorism and ISIS in plentiful news medias around the world.;facts
We must send Islamics back to their native countries. They are too different from us.;In fact, Muslims have continued to help our society. For instance, they have worked on countering violent extremism and building community cohesion. Muslims also have condemned terrorism and ISIS in plentiful news medias around the world.;facts
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.;In fact, Muslims have continued to help our society. For instance, they have worked on countering violent extremism and building community cohesion. Muslims also have condemned terrorism and ISIS in plentiful news medias around the world.;facts
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures.;facts
We must send Islamics back to their native countries. They are too different from us.;I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures.;facts
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.;I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures.;facts
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;This is not true. How can you say this about an entire faith who add so much to society?;denouncing
We must send Islamics back to their native countries. They are too different from us.;This is not true. How can you say this about an entire faith who add so much to society?;denouncing
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.;This is not true. How can you say this about an entire faith who add so much to society?;denouncing
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;I have met so many Muslim people adhering to British values. What do you base your view on?;affiliation
We must send Islamics back to their native countries. They are too different from us.;I have met so many Muslim people adhering to British values. What do you base your view on?;affiliation
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.;I have met so many Muslim people adhering to British values. What do you base your view on?;affiliation
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;I am not sure what values you are ascribing to us, but forced repatriation.;denouncing
We must send Islamics back to their native countries. They are too different from us.;I am not sure what values you are ascribing to us, but forced repatriation.;denouncing
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.;I am not sure what values you are ascribing to us, but forced repatriation.;denouncing
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;There seems to a confusion between 'citizenship' and 'faith' - you cannot really dump a load of people on some far away coast just because they share the same faith as the majority of the other people who live there.;facts
